eventType,location,startTime,homeTeam,visitingTeam,endTime,description,googleEventId
Game,Hillcrest Park NE diamond,05/24/2025 14:30:00,VCB Expos 15U AA Blue,North Island,05/24/2025 16:30:00,,hlia6qak3kn5rcnassjp5sjhjo
Game,Hillcrest Park NE diamond,05/25/2025 10:00:00,VCB 15U AA Red,North Island,05/25/2025 12:00:00,,3faub427a95km960l3mvo8avgs
Game,Hillcrest Park NE diamond,05/25/2025 12:30:00,VCB 15U AA Red,North Island,05/25/2025 14:30:00,,ss2gglluerktvte8a6qoq2pkeo
Game,Hillcrest Park NE diamond,05/25/2025 15:00:00,VCB 15U Dodgers,VCB 15U Red Sox,05/25/2025 17:00:00,,v814afjaf9tmnti3pdk2ro5ut4
Practice,Hillcrest Park NE diamond,05/27/2025 18:15:00,VCB 15U AAA,,05/27/2025 20:15:00,Practice,44q0kii397qmqlit718gatpclo
Game,Hillcrest Park NE diamond,05/28/2025 18:00:00,VCB 16U Red Sox-Girls,VCB 15U Blue Jays,05/28/2025 20:00:00,,h9c3vpeddqtl0fv5ea6hdbcep4
Practice,Hillcrest Park NE diamond,05/29/2025 16:15:00,VCB 15U AAA,,05/29/2025 18:15:00,Practice,bo0fd9uqnum3fuecqi33uvdln4
Game,Hillcrest Park NE diamond,05/30/2025 18:00:00,VCB 15U Yankees,VCB 15U Mariners,05/30/2025 20:00:00,,56qn9dor9eb6pn2joc4lo5h1ck
Game,Hillcrest Park NE diamond,05/31/2025 10:00:00,VCB 15U AAA,Cloverdale,05/31/2025 12:00:00,,l9aqojfidvj0qtup7f2taqi62k
Game,Hillcrest Park NE diamond,05/31/2025 12:30:00,VCB 15U AAA,Cloverdale,05/31/2025 14:30:00,,vp3bspbhkcnbuchjgbd4laa4po
Game,Hillcrest Park NE diamond,06/01/2025 10:00:00,VCB Expos 15U AA Blue,Richmond,06/01/2025 12:00:00,,0e1ftk736snhf8slk90i9plt3c
